Plot_ID,no_of_images,total_pod_count,average_pod_count,wt (kg)
0-101,27,2383,88.25925926,2.26
0-102,22,2495,113.4090909,2.35
0-103,25,3933,157.32,2.52
0-104,30,4348,144.9333333,2.39
0-105,22,3401,154.5909091,2.76
0-106,27,4135,153.1481481,2.67
0-107,23,2008,87.30434783,2.55
0-108,28,4840,172.8571429,2.65
0-109,32,2354,73.5625,2.43
0-110,37,4970,134.3243243,2.29
0-111,26,3043,117.0384615,2.57
0-112,27,3165,117.2222222,2.82
0-113,27,3716,137.6296296,2.66
0-114,29,3872,133.5172414,2.4
0-115,28,4315,154.1071429,2.36
0-116,24,3647,151.9583333,2.73
0-117,29,3240,111.7241379,2.28
0-118,23,3069,133.4347826,2.49
0-119,31,5754,185.6129032,2.51
0-120,30,4597,153.2333333,2.1
0-121,25,1415,56.6,2.29
0-122,29,4415,152.2413793,2.29
0-123,23,3168,137.7391304,2.48
0-124,27,3258,120.6666667,2.66
0-125,23,3471,150.9130435,2.59
0-126,20,1951,97.55,1.99
0-127,26,2761,106.1923077,2.14
0-128,22,2599,118.1363636,1.9
0-129,28,3553,126.8928571,2.26
0-130,27,3795,140.5555556,2.63
0-131,28,2919,104.25,2.31
0-132,23,2503,108.826087,2.4
0-133,27,3162,117.1111111,2.33
0-134,23,2731,118.7391304,2.6
0-135,25,2879,115.16,2.41
0-136,23,2885,125.4347826,2.24
0-137,25,3680,147.2,1.9
0-138,24,3781,157.5416667,1.68
0-139,25,2164,86.56,2.58
0-140,31,3075,99.19354839,2.37
0-141,30,3099,103.3,2.67
0-142,25,2839,113.56,2.32
0-143,29,2465,85,2.75
0-144,25,2933,117.32,2.86
0-145,28,3613,129.0357143,2.26
0-146,27,4363,161.5925926,2.24
0-147,24,2496,104,2.77
0-201,29,2969,102.37,2.54
0-202,24,2773,115.5416667,3
0-203,26,3134,120.5384615,2.77
0-204,29,3831,132.1034483,2.88
0-205,29,4667,160.9310345,2.71
0-206,26,2719,104.5769231,2.46
0-207,25,2833,113.32,2.85
0-208,27,3679,136.2592593,2.13
0-209,28,2762,98.64285714,2.18
0-210,23,2346,102,2.71
0-211,22,1852,84.18181818,2.58
0-212,26,4226,162.5384615,2.1
0-213,26,3781,145.4230769,1.77
0-214,25,3149,125.96,2.61
0-215,31,3866,124.7096774,2.14
0-216,33,4332,131.2727273,2.05
0-217,25,4747,189.88,1.74
0-218,26,3242,124.6923077,1.87
0-219,29,5286,182.2758621,1.75
0-220,18,2058,114.3333333,2.52
0-221,28,3850,137.5,1.96
0-222,24,3590,149.5833333,2.82
0-223,28,3489,124.6071429,2.09
0-224,24,2906,121.0833333,2.36
0-225,32,5082,158.8125,1.83
0-226,30,5376,179.2,2.41
0-227,22,2581,117.3181818,1.67
0-228,29,2668,92,1.79
0-229,23,2152,93.56521739,2.28
0-230,22,1926,87.54545455,2.87
0-231,24,3325,138.5416667,2.65
0-232,29,3215,110.862069,1.71
0-233,29,3309,114.1034483,1.82
0-234,24,2965,123.5416667,2.04
0-235,26,2090,80.38461538,2.61
0-236,26,4847,186.4230769,2.73
0-237,30,2886,96.2,2.05
0-238,30,3144,104.8,2.03
0-239,28,3818,136.3571429,2.63
0-240,22,2600,118.1818182,2.45
0-241,22,1725,78.40909091,2.52
0-242,24,3432,143,1.53
0-243,25,3425,137,1.93
0-244,25,3177,127.08,1.7
0-245,24,3849,160.375,2.52
0-246,19,2839,149.4210526,2.57
0-247,22,2918,132.6363636,2.01
1-101,21,2965,141.1904762,2.84
1-102,21,2417,115.0952381,1.76
1-103,23,3732,162.2608696,1.6
1-104,,2305,115.25,1.69
1-105,22,3112,141.4545455,2.89
1-106,24,1958,81.58333333,2.65
1-107,,3763,171.0454545,2.34
1-108,22,2141,97.31818182,2.31
1-109,22,3104,141.0909091,2.61
1-110,24,4272,178,2.85
1-111,24,4129,172.0416667,1.98
1-112,25,4063,162.52,2.47
1-113,21,2160,102.8571429,2.15
1-114,23,3977,172.9130435,2.01
1-115,28,4548,162.4285714,2.83
1-116,23,3718,161.6521739,2.72
1-117,22,2962,134.6363636,2.59
1-118,23,2168,94.26086957,2.4
1-119,23,3936,171.1304348,2.58
1-201,25,3586,143.44,1.86
1-202,23,3707,161.173913,2.55
1-203,22,2421,110.0454545,0.08
1-204,22,2298,104.4545455,2.15
1-205,32,3918,122.4375,2.42
1-205,27,2513,93.07407407,2.17
1-207,20,2609,130.45,2.26
1-208,29,2597,89.55172414,1.82
1-209,21,3465,165,2.59
1-210,32,3608,112.75,2.25
1-211,30,5270,175.6666667,2.18
1-212,20,2408,120.4,2.23
1-213,22,2013,91.5,2.11
1-214,23,2793,121.4347826,2.46
1-215,22,2973,135.1363636,2.8
1-216,29,3255,112.2413793,2.74
1-217,22,2998,136.2727273,2.34
1-218,24,2931,122.125,2.37
1-219,18,2489,138.2777778,3.05
1-301,24,2672,111.3333333,2.38
1-302,22,2788,126.7272727,2.08
1-303,20,3238,161.9,1.95
1-304,20,3190,159.5,2.18
1-305,26,3254,125.1538462,2.2
1-306,25,4397,175.88,2.54
1-307,23,3802,165.3043478,2.72
1-308,25,2924,116.96,2.5
1-309,23,3639,158.2173913,2.61
1-310,28,3961,141.4642857,2.89
1-311,24,2950,122.9166667,2.43
1-312,23,3794,164.9565217,2.38
1-313,20,3132,156.6,2.78
1-314,30,3891,129.7,2.67
1-315,26,3720,143.0769231,2.77
1-316,25,2948,117.92,2.21
1-317,21,1987,94.61904762,2.77
1-318,19,3197,168.2631579,2.18
1-319,23,2936,127.6521739,1.77
2-101,23,3816,165.9130435,2.05
2-102,25,3309,132.36,2.2
2-103,24,3425,142.7083333,2.54
2-104,22,3654,166.0909091,1.76
2-105,25,4302,172.08,2.63
2-106,29,3345,115.3448276,2.88
2-107,24,1728,72,2.68
2-108,21,3656,174.0952381,2.58
2-109,19,2672,140.6315789,3.01
2-110,28,3773,134.75,2.29
2-111,25,2692,107.68,2.13
2-112,23,4049,176.0434783,1.74
2-113,20,3352,167.6,2.76
2-201,29,3873,133.5517241,2.14
2-202,28,4765,170.1785714,2.65
2-203,29,4024,138.7586207,2.89
2-204,20,1720,86,2.93
2-205,20,3294,164.7,2.66
2-206,24,3763,156.7916667,2.97
2-207,22,3473,157.8636364,2.82
2-208,24,4004,166.8333333,2.38
2-209,26,2246,86.38461538,2.28
2-210,23,3125,135.8695652,2.47
2-211,24,2222,92.58333333,2.77
2-212,31,4627,149.2580645,2.48
2-213,26,4042,155.4615385,2.8
2-301,22,1788,81.27272727,3.22
2-302,22,3120,141.8181818,1.9
2-303,26,3679,141.5,2.52
2-304,26,2791,107.3461538,3.2
2-305,24,3842,160.0833333,2.94
2-306,25,2357,94.28,2.63
2-306,28,4817,172.0357143,2.35
2-307,24,3417,142.375,2.17
2-308,22,1132,51.45454545,2.36
2-310,17,2202,129.5294118,2.79
2-310,29,4771,164.5172414,2.41
2-311,19,1131,59.52631579,2.7
2-312,22,2838,129,2.41
2-313,13,1384,106.4615385,3.01
